postId	message	Appreciation	Complaint	Feedback
126016648090_10150802142013091	Great ! ;)	1	0	0
108381603303_10151136215833304	YUM! YUM!	1	0	0
108381603303_3913438087739	Yummm :))	1	0	0
110455108974424_343049739048292	sweet	1	0	0
110455108974424_350358541650745	nice	1	0	0
110455108974424_451282701558328	nice	1	0	0
115568331790246_371096892904054	winner!	1	0	0
115568331790246_413037885376621	awesome	1	0	0
117497138610_10151011231243611	yay	1	0	0
124728879505_10151158636224506	GMO	0	1	0
12699262021_10150574993972022	Good	1	0	0
12699262021_10150575107912022	Thanks	1	0	0
129945096760_10150579846686761	Great	1	0	0
129945096760_10150592249956761	thanks	1	0	0
129945096760_10150592252741761	thanks	1	0	0
129945096760_10150706233881761	Like	1	0	0
152789358067261_442429609103233	Like	1	0	0
159616034235_10150622835359236	Lame	0	1	0
159616034235_10150669215354236	Echange ?	0	1	0
159616034235_10150734849734236	like	1	0	0
159616034235_10150796323114236	boo	0	1	0
159616034235_10150979729564236	nice	1	0	0
159616034235_10151003735334236	Dislike	0	1	0
159616034235_10151298486649236	Thanks	1	0	0
159616034235_10151324763274236	Like	1	0	0
159616034235_10151325373969236	like!	1	0	0
163478290365055_467139029998978	weak	0	1	0
179590995428478_337073463013563	BOO!	0	1	0
179590995428478_387320144655561	Dislike.	0	1	0
179590995428478_406778402709735	Liars!!	0	1	0
179590995428478_433940116660230	ugh	0	1	0
21493231379_10150829828141380	Thanks.	1	0	0
56805881344_10150502819686345	yum	1	0	0
56805881344_10150540492246345	YUMMY	1	0	0
56805881344_10150875780366345	Mmmmmm	1	0	0
56805881344_10151109655696345	Yum! Yum!	1	0	0
63445693036_10150556468073037	Love!	1	0	0
6806028948_10150661912593949	L<3V	1	0	0
6806028948_10151049588938949	Friendly	1	0	0
6806028948_10151096359258949	Like	1	0	0
6806028948_10151169005163949	<3 YEA SOUTHWEST!! <3	1	0	0
8103318119_10150788729893120	Like	1	0	0
8103318119_10150815440063120	CONGRATS!	1	0	0
8103318119_10151089377248120	<3 Target!	1	0	0
8103318119_10151131418968120	Like	1	0	0
8103318119_10151258281183120	Boycott!	0	1	0
92979593115_10151267203698116	Nice	1	0	0
21493231379_10151228421091380	Love.the.candles.I'm.a.candle.nut love.them	1	0	0
92979593115_10151140164228116	GREAT BEAUTY DEAL THIS WEEK AT CVS!   BUY 20 PERT PLUS  LET'S SAY THE PRICE IS 4.99 SO 4.99+4.99=9.98 9.98-4.99=4.99 4.99-1.50-1.50=1.99 1.99-1.50=0.49   MONEY MAKER!	1	0	0
17648521247_10150492729591248	http://184.170.248.140/~kohls/?contact Is This Real???	0	0	1
100488814000_10151039520334001	GMO corn flakes???!?! YUK!!!!! :(	0	1	0
108381603303_10150616874013304	Mmmmmmmm mr. Goodbar :)	1	0	0
108381603303_10150963729753304	i <3 hersheys! :D	1	0	0
108381603303_10151255863763304	love the HERSHEY'S <3.<3	1	0	0
108381603303_196352177155935	****No MORE GMOs!****	0	1	0
126016648090_10150547881818091	mmm dee...licious	1	0	0
159616034235_10150636609849236	I love Walmart!!! (:	1	0	0
60686173217_10151111333823218	"C'mon...where, where??"	0	1	0
77978885595_2813196574713	this is NOBLE. <3 :)	1	0	0
8103318119_10151163301768120	I love target!<3	1	0	0
92979593115_10151213568948116	U SUCK ! IWANT MY 16.90 BACK ! ! ! ! I G0T MY RECEIPT U RIP OFFS ! ! LAST TIME IT WAS ALM0ST 30.00 ! ! NEVER EVER AGAIN !	0	1	0
21493231379_10150887515516380	Yeah! Website is back!! Thanks.	1	0	0
8103318119_10150650384913120	Target My Wallet! lol ...Sucks!	0	1	0
100488814000_10150512432874001	Raisin Bran :)	1	0	0
100488814000_10150610810494001	Great stuff	1	0	0
100488814000_10151045689729001	Say NO! to GMO!	0	1	0
100488814000_10151047308269001	Say NO! to GMO!	0	1	0
100488814000_10151157976254001	Thanks Kellogg`s for the rewards!!! ;.)	1	0	0
102621172007_10150766872527008	Do you accept coupons? :)	0	0	1
102621172007_10151099614757008	store hours	0	0	1
108381603303_10150577983273304	any coupons?	0	0	1
108381603303_10150626313463304	Hersheys rock!	1	0	0
108381603303_10150684478908304	OMG!!! I <3 HERSHEY'S !!!!! They taste sooo bomb!!!! >:{D>	1	0	0
108381603303_10151151208833304	LOVE HERSHEY'S	1	0	0
108381603303_10151287342808304	quiero uno !!!!!!!!!!!!!	1	0	0
108381603303_10151371073648304	love it.	1	0	0
108381603303_394192887290434	soooo yummy....	1	0	0
108381603303_448047108586422	i <3 HERSHEY'S	1	0	0
110455108974424_336935616326371	awesome store	1	0	0
110455108974424_345948552091744	love games	1	0	0
110455108974424_448803391806259	top games	1	0	0
110455108974424_487426884610576	Nice games	1	0	0
110455108974424_511246372228627	gta v ?	0	0	1
115568331790246_386551948025215	Sweet Escape?????	0	1	0
115568331790246_417523741594702	Pleasant shopping!!!	1	0	0
115568331790246_461868820493527	nice staff	1	0	0
