postId	message
108381603303_10151119973393304	Love. It. To
115568331790246_371841206162956	NICE
115568331790246_515044031842672	Congrats
147285781446_10151010892176447	Awesome!
159616034235_10150639103634236	Award
159616034235_10151047152604236	nice!
179590995428478_443816879005887	Me Lik3
21493231379_10151019828566380	Thanks
21493231379_10151163576961380	Good
56805881344_10150894140076345	GREAT!!!
77978885595_10151108329765596	<3 petsmart
92979593115_10150888486048116	shared ;)
100488814000_10151062359694001	Label Non-GMO!
108381603303_10150626336393304	I <3 Hershey's
108381603303_10151320982703304	Like Hershey's
125472670805257_507117895974064	Delta rocks!
129945096760_10150510853546761	killer contest
129945096760_10150827008406761	Coupons please
147285781446_10151137059581447	Thank you.
151901268159778_514205568596011	Best rates!!
159616034235_10150590536309236	walmart sucks!!!!!!
159616034235_10150650220029236	Walmart sucks!
159616034235_10151044466269236	Walmart sucks.
159616034235_10151069540579236	HI WALMART
159616034235_10151080798669236	Hi Walmart
159616034235_10151202987379236	love walmart
159616034235_10151249696679236	Walmart sucks!
17648521247_10150693207586248	love kohls
17648521247_10151257217201248	LOVE KOHLS
179590995428478_334137039973872	You suck!
179590995428478_441695259218049	You suck
199504650087085_300439553398087	"ur 764 !!!, love the plane ."
199504650087085_344020442302171	Fix the website!!!!! C'mon!!!
21493231379_10150739614756380	thank you.
56805881344_10150677739064992	S'MORES BARK!
60686173217_10151194288768218	Great Store
63445693036_10150796086798037	Love macys
63445693036_10151168069573037	Dump Trump.
6806028948_10150737746798949	luv southwest
77978885595_10151185934090596	i love pet smart!!!!(:
78143372410_10150937494897411	Slave way
8103318119_10150745740573120	LIKES THIS
8103318119_10150753621913120	i <3 u
92979593115_10150598073403116	love CVS
92979593115_10151304104983116	Coupon button???
147285781446_10150573919451447	Do you sell horse supplies? we got stuff. www.pro-buck.com
63445693036_10150618363398037	Don't like...over priced.  Way over priced.
100488814000_10150545152119001	Please bring back stuffing!!!!!!!!!! Please
100488814000_10150843614604001	I LOVE KELLOGG CEREALS !!!!!!!'m
12699262021_10151292442857022	I Love U. Best Buy.
179590995428478_328415260546050	Bigger isn't better.....Trust me!
179590995428478_440265386027703	your website doesnt work....  thanks..
8103318119_10150730603368120	Thanks Target!- A Bullseye View
8103318119_10151277235693120	"Where is the ""TARGET LADY""?!?!?!?! =-("
100488814000_10150571769109001	Best products around
100488814000_10151062315519001	Label GMO products
100488814000_10151226463359001	"GMOs?  Not me, no way, never...get the picture?"
100488814000_10151226701814001	GMO's are icky.  No thank you.
102621172007_10151314394207008	are the $1.00 christmas trees out yet?
104078918472_347142588690904	Do you have places to go?? :)
108381603303_10150958297203304	I love you!!
108381603303_10151086395338304	I love Hershies!!!!!!
110455108974424_364344650252134	u guys rule
110455108974424_437555226264409	this is sweet
110455108974424_525657287454202	u guys rock!!!
115568331790246_399374803409596	love this store
115568331790246_403574869656256	Happy Easter everyone!
12699262021_10150567694467022	best buy sucks
151901268159778_457967577553144	"The mobile app rocks! Thanks, Ally!"
159616034235_10150576134859236	i love walmart
159616034235_10150679641629236	walmart is wack
159616034235_10150701514754236	I luv walmart
159616034235_10150715854359236	I LOVE YOU
159616034235_10150927819934236	"Are you hiring? in Barstow CA, 92311"
159616034235_10151009686689236	Walmart you suck
159616034235_10151122176764236	I love you <3
159616034235_10151125593689236	i like walmart
159616034235_10151193565289236	i like walmart
163478290365055_383700798342802	love the rewards
17648521247_10150964246796248	i love kohl's
17648521247_10150997008411248	very nice 2 shop!
179590995428478_325340464186863	worst bank ever.
179590995428478_383899204997655	I like dat
179590995428478_395575477163361	I love BofA!
313163945066_10150942220050067	this bank sucks
63445693036_10150855203813037	I love macy's...
63445693036_10150890454663037	I LOVE MACYS
63445693036_10151168595543037	DUMP THE TRUMP!
6806028948_10150747117278949	I love Southwest.....
6806028948_10150769823783949	Luv southwest.... gud on line prices.....
7003656077_10151032998151078	Always on time!
8103318119_10150678132163120	Love this store
8103318119_10151171158223120	Me gusta target
8103318119_10151198648398120	ME GUSTA TARGET
8103318119_10151225262583120	Thank You Target!
8103318119_10151271890848120	Thank you Target!
92979593115_10150687566378116	Love ur deals
92979593115_10151026566903116	hi CVS thanks! for the add
117497138610_10151050223968611	I like Walgreens.  (I live a block away.)  I shop often.  Momma Hippie
100488814000_10151036334554001	GMO must GO!!!!!  Do the right thing....
129945096760_10150615049966761	please contacts numbers and fax ... thank you
147285781446_10151136070051447	"Good for you, Dick's.... Good for you."
260431051694_10150988591031695	PEPSI PEPSI!!! I LOVE LOVE LOVE PEPSI!!!
6806028948_10151334809843949	Can't go wrong using Southwest. The Best!
108381603303_10151291466278304	i don't want ticks..i just love Hershey's for scary treat! :)
100488814000_10151010440714001	Kellogg's + GMO's = NO PURCHASE!
102621172007_10151156211662008	I love this store!!!!!!!!!!!!
108381603303_10150698478853304	any coupons out there?
108381603303_10151026031793304	Stop using child labor!
110455108974424_413618265324772	When is halo 4 released
115568331790246_497148966965512	love the rewards program
124728879505_10150679915559506	Best Soup there is <3
147285781446_10151141920216447	I love this place.
159616034235_10150575301544236	i love walmart a little to much.....:D
159616034235_10150665784234236	james giddings like walmart
159616034235_10150706715469236	NO GE CORN PLS
159616034235_10151112847604236	i love you walmart
163478290365055_411593355553546	Have a great week
17648521247_10151037939386248	Me gusta la tienda
179590995428478_340173109370265	this is my bank
179590995428478_405965759457666	my post was removed
179590995428478_447333235320918	Can yall call me
21493231379_10150866321481380	Nothing like good credit.
63445693036_10150586106703037	I LIKE IT ALSO
6806028948_10150772802508949	Southwest is the Best!
6806028948_10151168404793949	best airline by far
6806028948_10151413158273949	HOW much for a 2way ticket to philpeans? Didnt spel tht rgt.sorry
8103318119_10150575737468120	lol love this stor
8103318119_10150777008898120	Deal of the day?
8103318119_10151334387033120	Target your the best!
92979593115_10150995489398116	Can't get my coupon?
92979593115_10151090679193116	LOVE LOVE LOVE CVS!
129945096760_10151104145076761	Time to do the right thing. . . you will have to answer for your actions at some point. Make them good actions!
8103318119_10151280343818120	"TARGET LADY! TARGET LADY!  Bring back the blonde, crazy Target Lady for Christmas!!"
115568331790246_518711401475935	"Hi! Can you tell me where I could find your ""sneak preview"" of your next weeks ad? Thanks! :)"
124728879505_10151038887159506	The Warhol cans are AWESOME!!!!!! Thanks for doing this.
12699262021_10150576483177022	What are the movies this time?  Anyone know yet?
12699262021_10150716097902022	Thanks for helping me out Marti & Stacy. You rock!
199504650087085_306713526032863	Going for the 4 HOUR DELAY MARK !!!!  NICE - THIS ROCKS!!!!
6806028948_10151130377498949	I LUV my SWA! No other way to fly.
6806028948_10151204696013949	Just flew in a brand new 737-800 series...smooth ride
8103318119_10150936070113120	SCREW TARGET! SUPPORT THE TROOPS DON'T SHOP AT TARGET!
108381603303_10150526186543304	I love HERSHEY'S AIR :) :P
115568331790246_373803419300068	rite aid is the best!!!!
115568331790246_479929902020752	Rite Aid has good sales
117497138610_10150509455998611	I love Walgreens pick me...
125472670805257_423693750983146	I will never fly delta again.....not a smart move.
12854644836_10150621535149837	One of the best shops:)
129945096760_10150573932966761	Mmmmm mmmmm mmmmmm good stuff
159616034235_10150660005484236	I like Wal Mart also...
